"block","block_trial","event","eventn","time","et.msg"
"NGtA",14,"face",270,11750787,"TRIALID -1_14_1_M2_0.7"
"NGtA",14,"feedback",271,11753287,"TRIALID -1_14_2_-1_0"
"NGtA",15,"face",272,11758288,"TRIALID -1_15_1_M2_0.7"
"NGtA",15,"feedback",273,11760788,"TRIALID 0_15_2_-1_1"
"NGtA",16,"face",274,11765788,"TRIALID -1_16_1_M2_0.7"
"NGtA",16,"feedback",275,11768288,"TRIALID -1_16_2_-1_0"
"NGtA",17,"face",276,11773288,"TRIALID -1_17_1_M2_0.7"
"NGtA",17,"feedback",277,11775789,"TRIALID -1_17_2_-1_1"
"NGtA",18,"face",278,11780789,"TRIALID -1_18_1_M2_0.7"
"NGtA",18,"feedback",279,11783289,"TRIALID -1_18_2_-1_1"
"NGtA",19,"face",280,11788289,"TRIALID -1_19_1_M2_0.7"
"NGtA",19,"feedback",281,11790789,"TRIALID -1_19_2_-1_0"
"NGtA",20,"face",282,11795790,"TRIALID -1_20_1_M2_0.7"
"NGtA",20,"feedback",283,11798290,"TRIALID -1_20_2_-1_1"
"NGtA",21,"face",284,11803290,"TRIALID -1_21_1_M2_0.7"
"NGtA",21,"feedback",285,11805791,"TRIALID 0_21_2_-1_0"
"NGtA",22,"face",286,11810791,"TRIALID -1_22_1_M2_0.7"
"NGtA",22,"feedback",287,11813291,"TRIALID 0_22_2_-1_0"
"NGtA",23,"face",288,11818291,"TRIALID -1_23_1_M2_0.7"
"NGtA",23,"feedback",289,11820790,"TRIALID -1_23_2_-1_0"
"NGtA",24,"face",290,11825791,"TRIALID -1_24_1_M2_0.7"
"NGtA",24,"feedback",291,11828291,"TRIALID 0_24_2_-1_1"
"NGtA",25,"face",292,11833292,"TRIALID -1_25_1_M2_0.7"
"NGtA",25,"feedback",293,11835791,"TRIALID 0_25_2_-1_0"
"NGtA",26,"face",294,11840793,"TRIALID -1_26_1_M2_0.7"
"NGtA",26,"feedback",295,11843292,"TRIALID 0_26_2_-1_0"
"NGtA",27,"face",296,11848293,"TRIALID -1_27_1_M2_0.7"
"NGtA",27,"feedback",297,11850792,"TRIALID -1_27_2_-1_0"
"NGtA",28,"face",298,11855794,"TRIALID -1_28_1_M2_0.7"
"NGtA",28,"feedback",299,11858293,"TRIALID 0_28_2_-1_0"
"NGtA",29,"face",300,11863294,"TRIALID -1_29_1_M2_0.7"
"NGtA",29,"feedback",301,11865793,"TRIALID 0_29_2_-1_0"
"NGtA",30,"face",302,11870795,"TRIALID -1_30_1_M2_0.7"
"NGtA",30,"feedback",303,11873294,"TRIALID 0_30_2_-1_0"
"NGtA",31,"face",304,11878294,"TRIALID -1_31_1_M2_0.7"
"NGtA",31,"feedback",305,11880794,"TRIALID -1_31_2_-1_0"
"NGtA",32,"face",306,11885795,"TRIALID -1_32_1_M2_0.7"
"NGtA",32,"feedback",307,11888295,"TRIALID 0_32_2_-1_1"
"NGtA",33,"face",308,11893295,"TRIALID -1_33_1_M2_0.7"
"NGtA",33,"feedback",309,11895795,"TRIALID 0_33_2_-1_0"
"NGtA",34,"face",310,11900796,"TRIALID -1_34_1_M2_0.7"
"NGtA",34,"feedback",311,11903295,"TRIALID 0_34_2_-1_0"
"NGtA",35,"face",312,11908296,"TRIALID -1_35_1_M2_0.7"
"NGtA",35,"feedback",313,11910796,"TRIALID -1_35_2_-1_0"
"NGtA",36,"face",314,11915796,"TRIALID -1_36_1_M2_0.7"
"NGtA",36,"feedback",315,11918296,"TRIALID -1_36_2_-1_0"
"NGtA",37,"face",316,11923297,"TRIALID -1_37_1_M2_0.7"
"NGtA",37,"feedback",317,11925797,"TRIALID -1_37_2_-1_1"
"NGtA",38,"face",318,11930797,"TRIALID -1_38_1_M2_0.7"
"NGtA",38,"feedback",319,11933297,"TRIALID -1_38_2_-1_1"
"NGtA",39,"face",320,11938298,"TRIALID -1_39_1_M2_0.7"
"NGtA",39,"feedback",321,11940798,"TRIALID 0_39_2_-1_0"
"NGtA",40,"face",322,11945798,"TRIALID -1_40_1_M2_0.7"
"NGtA",40,"feedback",323,11948299,"TRIALID 0_40_2_-1_0"
"socint_score",4,"socint_score",324,11953305,"TRIALID socint_41_3_score_-19"
